"sku","title","description","category","subcategory","colors","in_stock"
"LACE1001","LACE1001",,,,"black","true"
"LACE1002","LACE1002",,,,"white","true"
"LACE1003","LACE1003",,,,"grey","true"
"LACE1004","LACE1004",,,,"white","true"
"LACE1005","LACE1005",,,,"white","true"
"LACE1006","LACE1006",,,,"white","true"
"LACE1007","LACE1007",,,,"dark","true"
"LACE1008","LACE1008",,,,"cream","true"
"LACE1009","LACE1009",,,,"white","true"
"LACE1010","LACE1010",,,,"cream","true"
"LACE1011","LACE1011",,,,"black","true"
"LACE1012","LACE1012",,,,"white","true"
"LACE1013","LACE1013",,,,"red","true"
"LACE1014","LACE1014",,,,"blue","true"
"LACE1015","LACE1015",,,,"white","true"
"LACE1016","LACE1016",,,,"black","true"
"LACE1017","LACE1017",,,,"black","true"
"LACE1018","LACE1018",,,,"white","true"
"LACE1019","LACE1019",,,,"cream","true"
"LACE1020","LACE1020",,,,"white","true"
"LACE1021","LACE1021",,,,"gold","true"
"LACE1022","LACE1022",,,,"dark","true"
"LACE1023","LACE1023",,,,"black","true"
"LACE1024","LACE1024",,,,"white","true"
"TESTIMG0001","Imported test design 0001","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0002","Imported test design 0002","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0003","Imported test design 0003","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0004","Imported test design 0004","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0005","Imported test design 0005","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0006","Imported test design 0006","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0007","Imported test design 0007","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0008","Imported test design 0008","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0009","Imported test design 0009","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0010","Imported test design 0010","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0011","Imported test design 0011","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0012","Imported test design 0012","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0013","Imported test design 0013","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0014","Imported test design 0014","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0015","Imported test design 0015","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0016","Imported test design 0016","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0017","Imported test design 0017","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0018","Imported test design 0018","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0019","Imported test design 0019","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0020","Imported test design 0020","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0021","Imported test design 0021","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0022","Imported test design 0022","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0023","Imported test design 0023","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0024","Imported test design 0024","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0025","Imported test design 0025","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0026","Imported test design 0026","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0027","Imported test design 0027","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0028","Imported test design 0028","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0029","Imported test design 0029","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0030","Imported test design 0030","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0031","Imported test design 0031","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0032","Imported test design 0032","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0033","Imported test design 0033","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0034","Imported test design 0034","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0035","Imported test design 0035","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0036","Imported test design 0036","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0037","Imported test design 0037","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0038","Imported test design 0038","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0039","Imported test design 0039","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0040","Imported test design 0040","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0041","Imported test design 0041","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0042","Imported test design 0042","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0043","Imported test design 0043","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0044","Imported test design 0044","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0045","Imported test design 0045","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0046","Imported test design 0046","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0047","Imported test design 0047","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0048","Imported test design 0048","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0049","Imported test design 0049","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
"TESTIMG0050","Imported test design 0050","Imported textile catalogue test image","Test Catalogue","Imported Image","","true"
